uri,wuri,tag,uri,diff,tot,miss,ratio,Person,Organisation,Company,SportsTeam,EducationalInstitution,PoliticalParty,Work,Document,MusicalWork,Film,Event,SocietalEvent,Activity,Place,PopulatedPlace,Country,ArchitecturalStructure,NaturalPlace,NaturalEvent,on,in,at,since,for,ago,before,to,past,from,till,until,by,year,sec,p_count,uri
http://dbpedia.org/ontology/careerStation,,0,careerStation,0,37,36,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,careerStation
http://dbpedia.org/ontology/event,,0,event,0,4,8,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,event
http://dbpedia.org/ontology/firstRace,,0,firstRace,0,1,20,0,0,0,0,0,0,0,0,0,0,0,670,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,firstRace
http://dbpedia.org/ontology/mythology,,0,mythology,0,765,17,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,mythology
http://dbpedia.org/ontology/personFunction,,0,personFunction,0,98,156,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,personFunction
http://dbpedia.org/ontology/restingPlacePosition,,0,restingPlacePosition,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,restingPlacePosition
http://dbpedia.org/ontology/soundRecording,,0,soundRecording,0,9,53,0,0,0,0,0,0,0,1001,1001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,soundRecording
http://dbpedia.org/ontology/sportCountry,,0,sportCountry,0,144,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,135,135,119,0,0,0,9,29,9,1,9,0,1,15,1,10,0,0,6,81,28,148,sportCountry
http://dbpedia.org/ontology/termPeriod,,0,termPeriod,0,39,60,0,2,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,termPeriod
http://dbpedia.org/ontology/winsAtAsia,,0,winsAtAsia,0,4,2,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,winsAtAsia
http://dbpedia.org/ontology/winsAtAus,,0,winsAtAus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,winsAtAus
http://dbpedia.org/ontology/winsAtChallenges,,0,winsAtChallenges,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,winsAtChallenges
http://dbpedia.org/ontology/winsAtJapan,,0,winsAtJapan,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,winsAtJapan
http://dbpedia.org/ontology/winsAtOtherTournaments,,0,winsAtOtherTournaments,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,winsAtOtherTournaments
http://dbpedia.org/ontology/winsAtPGA,,0,winsAtPGA,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,winsAtPGA
http://dbpedia.org/ontology/winsAtProTournaments,,0,winsAtProTournaments,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,winsAtProTournaments
http://dbpedia.org/ontology/winsInEurope,,0,winsInEurope,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,winsInEurope
