uri,diff,tot,state,miss
http://dbpedia.org/property/constituencyAm,0,35,0,1512
http://dbpedia.org/property/formerpartner,0,131,0,1110
http://dbpedia.org/property/playedFor,0,2,0,1998
http://dbpedia.org/property/lieutenant,1,213,0.004694836,1404
http://dbpedia.org/property/counties,13,1982,0.006559031,18
http://dbpedia.org/property/country,5,551,0.00907441,1450
http://dbpedia.org/property/discipline,25,1803,0.013865779,197
http://dbpedia.org/property/series,3,203,0.014778325,1796
http://dbpedia.org/property/training,3,197,0.015228426,1802
http://dbpedia.org/property/name,11,623,0.017656501,1266
http://dbpedia.org/property/debutleague,36,1981,0.01817264,19
http://dbpedia.org/property/unit,3,153,0.019607843,1708
http://dbpedia.org/property/influencedBy,3,143,0.020979021,1483
http://dbpedia.org/property/otherparty,2,70,0.028571429,1928
http://dbpedia.org/property/placeOfBurial,6,207,0.028985507,1793
http://dbpedia.org/property/sport,49,1688,0.029028436,312
http://dbpedia.org/property/restingplace,11,372,0.029569892,1628
http://dbpedia.org/property/publisher,58,1920,0.030208333,78
http://dbpedia.org/property/doctoralAdvisor,6,188,0.031914894,1812
http://dbpedia.org/property/state,56,1751,0.031981725,249
http://dbpedia.org/property/type,63,1899,0.033175355,101
http://dbpedia.org/property/president,13,375,0.034666667,1625
http://dbpedia.org/property/finalteam,55,1522,0.036136662,456
http://dbpedia.org/property/fields,7,190,0.036842105,1809
http://dbpedia.org/property/species,66,1486,0.044414536,512
http://dbpedia.org/property/genre,6,133,0.045112782,1868
http://dbpedia.org/property/constituency,7,146,0.047945205,1812
http://dbpedia.org/property/debutfor,85,1732,0.049076212,52
http://dbpedia.org/property/almaMater,3,60,0.05,1940
http://dbpedia.org/property/lastfor,66,1299,0.050808314,35
http://dbpedia.org/property/partner,37,719,0.051460362,1271
http://dbpedia.org/property/nationality,73,1332,0.054804805,669
http://dbpedia.org/property/allegiance,9,164,0.054878049,1832
http://dbpedia.org/property/profession,41,738,0.055555556,1263
http://dbpedia.org/property/label,21,372,0.056451613,1618
http://dbpedia.org/property/college,67,1170,0.057264957,831
http://dbpedia.org/property/district,8,136,0.058823529,420
http://dbpedia.org/property/employer,20,338,0.059171598,1655
http://dbpedia.org/property/relations,13,216,0.060185185,1772
http://dbpedia.org/property/conf,119,1929,0.061689995,30
http://dbpedia.org/property/originalteam,120,1910,0.062827225,62
http://dbpedia.org/property/debutteam,2,31,0.064516129,1967
http://dbpedia.org/property/parents,97,1438,0.067454798,559
http://dbpedia.org/property/trainer,33,483,0.068322981,1515
http://dbpedia.org/property/hometown,79,1131,0.069849691,869
http://dbpedia.org/property/branch,5,71,0.070422535,1926
http://dbpedia.org/property/field,14,197,0.07106599,1804
http://dbpedia.org/property/nationalteam,31,426,0.072769953,1523
http://dbpedia.org/property/constituencyMp,53,724,0.07320442,1270
http://dbpedia.org/property/appointed,51,687,0.074235808,101
http://dbpedia.org/property/prizes,18,242,0.074380165,1747
http://dbpedia.org/property/column,147,1953,0.075268817,47
http://dbpedia.org/property/associatedActs,5,65,0.076923077,1932
http://dbpedia.org/property/spouse,94,1197,0.078529657,788
http://dbpedia.org/property/education,54,684,0.078947368,1306
http://dbpedia.org/property/language,78,980,0.079591837,1020
http://dbpedia.org/property/doctoralStudents,22,258,0.085271318,1732
http://dbpedia.org/property/conference,45,527,0.085388994,42
http://dbpedia.org/property/collegeteam,170,1951,0.087134803,41
http://dbpedia.org/property/knownFor,34,389,0.087403599,1596
http://dbpedia.org/property/creator,70,792,0.088383838,1208
http://dbpedia.org/property/deputy,23,258,0.089147287,1285
http://dbpedia.org/property/placeofburial,15,168,0.089285714,1828
http://dbpedia.org/property/restingPlace,111,1241,0.089443997,756
http://dbpedia.org/property/battles,4,44,0.090909091,1953
http://dbpedia.org/property/relstyle,109,1195,0.091213389,39
http://dbpedia.org/property/nominator,85,924,0.091991342,60
http://dbpedia.org/property/appointer,99,1068,0.092696629,931
http://dbpedia.org/property/lastagainst,120,1279,0.093823299,35
http://dbpedia.org/property/notableInstruments,24,255,0.094117647,1706
http://dbpedia.org/property/family,176,1841,0.095600217,140
http://dbpedia.org/property/university,40,416,0.096153846,1580
http://dbpedia.org/property/school,46,475,0.096842105,1524
http://dbpedia.org/property/children,68,702,0.096866097,676
http://dbpedia.org/property/deathPlace,49,505,0.097029703,1488
http://dbpedia.org/property/youthclubs,60,606,0.099009901,1369
http://dbpedia.org/property/citizenship,94,947,0.099260824,1048
http://dbpedia.org/property/coach,119,1142,0.104203152,851
http://dbpedia.org/property/introducer,185,1655,0.111782477,37
http://dbpedia.org/property/residence,18,161,0.111801242,1835
http://dbpedia.org/property/event,133,1188,0.111952862,127
http://dbpedia.org/property/highSchool,221,1920,0.115104167,80
http://dbpedia.org/property/monarch,3,26,0.115384615,1974
http://dbpedia.org/property/governor,4,34,0.117647059,1966
http://dbpedia.org/property/primeminister,14,119,0.117647059,1881
http://dbpedia.org/property/debutagainst,205,1721,0.119116793,53
http://dbpedia.org/property/occupation,84,703,0.119487909,1276
http://dbpedia.org/property/years,3,25,0.12,893
http://dbpedia.org/property/relatives,61,505,0.120792079,1478
http://dbpedia.org/property/with,188,1536,0.122395833,98
http://dbpedia.org/property/premier,130,1050,0.123809524,26
http://dbpedia.org/property/deathCause,87,700,0.124285714,1293
http://dbpedia.org/property/creators,7,56,0.125,1944
http://dbpedia.org/property/currentConference,120,952,0.12605042,131
http://dbpedia.org/property/mother,63,495,0.127272727,1504
http://dbpedia.org/property/see,237,1789,0.132476244,207
http://dbpedia.org/property/organization,252,1881,0.133971292,88
http://dbpedia.org/property/honorificPrefix,250,1854,0.134843581,143
http://dbpedia.org/property/portrayer,155,1149,0.134899913,851
http://dbpedia.org/property/succeeded,249,1802,0.1381798,196
http://dbpedia.org/property/ruAmateurclubs,274,1930,0.141968912,59
http://dbpedia.org/property/currentclub,8,56,0.142857143,1945
http://dbpedia.org/property/father,32,221,0.14479638,1778
http://dbpedia.org/property/alongside,232,1601,0.144909432,393
http://dbpedia.org/property/movement,48,331,0.145015106,1653
http://dbpedia.org/property/origin,32,217,0.147465438,1784
http://dbpedia.org/property/weightClass,296,1947,0.152028762,38
http://dbpedia.org/property/weight,2,13,0.153846154,651
http://dbpedia.org/property/highschool,181,1161,0.155900086,840
http://dbpedia.org/property/party,40,255,0.156862745,1746
http://dbpedia.org/property/diocese,257,1637,0.156994502,340
http://dbpedia.org/property/league,9,57,0.157894737,1930
http://dbpedia.org/property/playingTeam,285,1789,0.159306875,196
http://dbpedia.org/property/preceded,284,1774,0.160090192,223
http://dbpedia.org/property/classification,307,1912,0.160564854,31
http://dbpedia.org/property/teamb,308,1917,0.16066771,78
http://dbpedia.org/property/burialPlace,167,1028,0.162451362,666
http://dbpedia.org/property/teama,314,1929,0.162778642,67
http://dbpedia.org/property/riding,244,1426,0.171107994,21
http://dbpedia.org/property/ruProvince,277,1598,0.173341677,89
http://dbpedia.org/property/ruNationalteam,302,1738,0.173762946,77
http://dbpedia.org/property/consecratedBy,346,1961,0.176440592,34
http://dbpedia.org/property/homeTown,93,523,0.177820268,1477
http://dbpedia.org/property/currentTitle,300,1686,0.177935943,314
http://dbpedia.org/property/subject,171,951,0.179810726,1043
http://dbpedia.org/property/currentSeries,144,800,0.18,28
http://dbpedia.org/property/influenced,24,132,0.181818182,1864
http://dbpedia.org/property/before,326,1784,0.182735426,213
http://dbpedia.org/property/clubs,14,76,0.184210526,1923
http://dbpedia.org/property/successor,93,492,0.18902439,1500
http://dbpedia.org/property/after,339,1785,0.189915966,209
http://dbpedia.org/property/careerPosition,177,899,0.196885428,7
http://dbpedia.org/property/fightingOutOf,401,1918,0.20907195,44
http://dbpedia.org/property/predecessor,217,1020,0.212745098,979
http://dbpedia.org/property/order,5,23,0.217391304,1976
http://dbpedia.org/property/proteam,421,1923,0.218928757,66
http://dbpedia.org/property/alliances,420,1911,0.21978022,60
http://dbpedia.org/property/influences,26,118,0.220338983,1882
http://dbpedia.org/property/playerTeam,429,1926,0.222741433,74
http://dbpedia.org/property/veneratedIn,24,107,0.224299065,1891
http://dbpedia.org/property/rank,104,451,0.23059867,1435
http://dbpedia.org/property/position,92,395,0.232911392,1605
http://dbpedia.org/property/strokes,467,1974,0.236575481,19
http://dbpedia.org/property/religion,59,247,0.238866397,1753
http://dbpedia.org/property/style,455,1843,0.246880087,74
http://dbpedia.org/property/mainInterests,185,736,0.251358696,1247
http://dbpedia.org/property/schoolTradition,150,596,0.251677852,1164
http://dbpedia.org/property/ethnicity,186,727,0.255845942,1273
http://dbpedia.org/property/nobleFamily,487,1901,0.256180957,99
http://dbpedia.org/property/currentTeam,315,1224,0.257352941,762
http://dbpedia.org/property/birthPlace,90,348,0.25862069,1653
http://dbpedia.org/property/team,167,622,0.268488746,1363
http://dbpedia.org/property/playerPositions,525,1942,0.270339856,50
http://dbpedia.org/property/dynasty,345,1259,0.274027006,130
http://dbpedia.org/property/ruProclubs,524,1905,0.275065617,86
http://dbpedia.org/property/instrument,183,662,0.276435045,1336
http://dbpedia.org/property/house,557,1935,0.287855297,63
http://dbpedia.org/property/issue,532,1838,0.289445049,65
http://dbpedia.org/property/workInstitutions,544,1852,0.293736501,132
http://dbpedia.org/property/workplaces,600,1945,0.30848329,38
http://dbpedia.org/property/club,408,1296,0.314814815,702
http://dbpedia.org/property/formerTeams,26,82,0.317073171,1916
http://dbpedia.org/property/workInstitution,629,1962,0.320591233,22
http://dbpedia.org/property/title,611,1862,0.328141783,102
http://dbpedia.org/property/awards,154,444,0.346846847,1337
http://dbpedia.org/property/dipstyle,672,1911,0.351648352,89
http://dbpedia.org/property/tour,541,1442,0.37517337,141
http://dbpedia.org/property/data,523,1370,0.381751825,142
http://dbpedia.org/property/prevSeries,509,1186,0.429173693,31
http://dbpedia.org/property/cteam,445,1021,0.435847209,18
http://dbpedia.org/property/honorificSuffix,673,1540,0.437012987,456
http://dbpedia.org/property/succession,800,1798,0.444938821,66
http://dbpedia.org/property/statlabel,901,1946,0.463001028,55
http://dbpedia.org/property/managerclubs,167,360,0.463888889,1630
http://dbpedia.org/property/church,902,1896,0.475738397,103
http://dbpedia.org/property/coachTeam,930,1929,0.482115086,71
http://dbpedia.org/property/extour,904,1859,0.486282948,35
http://dbpedia.org/property/office,36,72,0.5,1924
http://dbpedia.org/property/ruPosition,1057,1937,0.54568921,44
