uri,p_only_one_counter,p_multy_objs_same_type_counter,p_objs_unique_type_counter,p_has_primitive_type,p_count,tag,uri2
http://dbpedia.org/property/after,0.594246032,0.493055556,0.031746032,1,1008,0,http://dbpedia.org/property/after
http://dbpedia.org/property/allegiance,0.970238095,0.047619048,0.005952381,1,168,0,http://dbpedia.org/property/allegiance
http://dbpedia.org/property/alliances,0.4816286,0.622641509,0.248262165,1,1007,1,http://dbpedia.org/property/alliances
http://dbpedia.org/property/almaMater,0.901639344,0.114754098,0,1,61,0,http://dbpedia.org/property/almaMater
http://dbpedia.org/property/alongside,0.497011952,0.547808765,0.020916335,1,1004,1,http://dbpedia.org/property/alongside
http://dbpedia.org/property/appointed,0.978196234,0.028741328,0,1,1009,1,http://dbpedia.org/property/appointed
http://dbpedia.org/property/appointer,0.862137862,0.15984016,0.018981019,1,1001,0,http://dbpedia.org/property/appointer
http://dbpedia.org/property/associatedActs,0.818181818,0.212121212,0,1,66,1,http://dbpedia.org/property/associatedActs
http://dbpedia.org/property/awards,0.756024096,0.293674699,0.028614458,1,664,0,http://dbpedia.org/property/awards
http://dbpedia.org/property/battles,0.933333333,0.111111111,0,1,45,0,http://dbpedia.org/property/battles
http://dbpedia.org/property/before,0.596230159,0.501984127,0.018849206,1,1008,0,http://dbpedia.org/property/before
http://dbpedia.org/property/birthPlace,0.715517241,0.413793103,0.054597701,1,348,0,http://dbpedia.org/property/birthPlace
http://dbpedia.org/property/branch,0.946666667,0.053333333,0,1,75,1,http://dbpedia.org/property/branch
http://dbpedia.org/property/burialPlace,0.842261905,0.19047619,0.04265873,1,1008,0,http://dbpedia.org/property/burialPlace
http://dbpedia.org/property/careerPosition,0.692992214,0.321468298,0.180200222,1,899,0,http://dbpedia.org/property/careerPosition
http://dbpedia.org/property/children,0.713717694,0.287276342,0.000994036,1,1006,0,http://dbpedia.org/property/children
http://dbpedia.org/property/church,0.993,0.013,0.003,1,1000,0,http://dbpedia.org/property/church
http://dbpedia.org/property/citizenship,0.940188877,0.070304302,0.001049318,1,953,1,http://dbpedia.org/property/citizenship
http://dbpedia.org/property/classification,0.968222443,0.073485601,0.001986097,1,1007,1,http://dbpedia.org/property/classification
