uri,p_only_one_counter,p_multy_objs_same_type_counter,p_objs_unique_type_counter,p_has_primitive_type,tag
http://dbpedia.org/property/address,,,0.051282051,39,1
http://dbpedia.org/property/after,0.437562438,0.305694306,0.028971029,0.227772228,0
http://dbpedia.org/property/alias,,,0.001837391,13062,0
http://dbpedia.org/property/allegiance,0.003996004,0,0.000999001,0.995004995,0
http://dbpedia.org/property/alliances,0.341658342,0.230769231,0.244755245,0.182817183,1
http://dbpedia.org/property/almaMater,0.012987013,0.001998002,0,0.985014985,0
http://dbpedia.org/property/alongside,0.295704296,0.370629371,0.017982018,0.315684316,1
http://dbpedia.org/property/appointed,0.271728272,0.005994006,0,0.722277722,1
http://dbpedia.org/property/appointer,0.370629371,0.03996004,0.007992008,0.581418581,0
http://dbpedia.org/property/associatedActs,0,0.001998002,0,0.998001998,1
http://dbpedia.org/property/awards,0.045954046,0.031968032,0.00999001,0.912087912,0
http://dbpedia.org/property/battles,0.002997003,0,0,0.997002997,0
http://dbpedia.org/property/before,0.46953047,0.310689311,0.014985015,0.204795205,0
http://dbpedia.org/property/birthPlace,0.061938062,0.047952048,0.00999001,0.88011988,0
http://dbpedia.org/property/branch,0.004995005,0,0,0.995004995,0
http://dbpedia.org/property/burialPlace,0.222777223,0.065934066,0.028971029,0.682317682,0
http://dbpedia.org/property/careerPosition,0.573951435,0.107064018,0.178807947,0.1401766,1
http://dbpedia.org/property/ceo,,,0.134328358,67,1
http://dbpedia.org/property/children,0.000999001,0.000999001,0.000999001,0.997002997,0
http://dbpedia.org/property/church,0.452547453,0,0.001998002,0.545454545,0
http://dbpedia.org/property/citizenship,0.06993007,0.007992008,0.000999001,0.921078921,0
http://dbpedia.org/property/classification,0.633366633,0.016983017,0.001998002,0.347652348,0
http://dbpedia.org/property/club,0.212787213,0.345654346,0.018981019,0.422577423,1
http://dbpedia.org/property/clubs,0.004995005,0.003996004,0,0.991008991,1
http://dbpedia.org/property/coach,0.097902098,0.012987013,0.000999001,0.888111888,1
http://dbpedia.org/property/coachTeam,0.178821179,0.258741259,0.503496503,0.058941059,1
http://dbpedia.org/property/coatOfArms,,,0.000394711,5067,0
http://dbpedia.org/property/college,0.566433566,0.002997003,0.004995005,0.425574426,0
http://dbpedia.org/property/collegeteam,0.642357642,0.005994006,0.010989011,0.340659341,0
http://dbpedia.org/property/commands,0.000999001,0,0,0.999000999,1
http://dbpedia.org/property/conf,0.422577423,0.197802198,0.156843157,0.222777223,1
http://dbpedia.org/property/conference,0.096903097,0.093906094,0.022977023,0.786213786,1
