prop,subj,obj,diff,tot
http://dbpedia.org/property/stat2label,http://dbpedia.org/resource/Scott_Skiles,obj,72,1974
http://dbpedia.org/property/doctoralAdvisor,http://dbpedia.org/resource/Maxime_Bôcher,obj,diff,tot
http://dbpedia.org/property/lastfor,http://dbpedia.org/resource/Rob_Andrew,obj,66,1299
http://dbpedia.org/property/awards,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/deputy,http://dbpedia.org/resource/Volodymyr_Lanovyi,http://dbpedia.org/resource/People's_Deputy_of_Ukraine,diff,tot
http://dbpedia.org/property/statlabel,http://dbpedia.org/resource/Shaun_Alexander,obj,901,1946
http://dbpedia.org/property/event,http://dbpedia.org/resource/Forrest_Towns,obj,133,1188
http://dbpedia.org/property/ethnicity,http://dbpedia.org/resource/Nokë_Sinishtaj,obj,diff,tot
http://dbpedia.org/property/creator,http://dbpedia.org/resource/Patsy_Stone,obj,diff,tot
http://dbpedia.org/property/constituencyMp,http://dbpedia.org/resource/Bhajan_Lal,http://dbpedia.org/resource/Karnal_(Lok_Sabha_constituency),diff,tot
http://dbpedia.org/property/monarch,"http://dbpedia.org/resource/Hugh_Fortescue,_2nd_Earl_Fortescue",obj,diff,tot
http://dbpedia.org/property/unit,http://dbpedia.org/resource/Arthur_Eve,obj,diff,tot
http://dbpedia.org/property/nationalteam,http://dbpedia.org/resource/Albert_Rocas,http://dbpedia.org/resource/Spain_national_handball_team,diff,tot
http://dbpedia.org/property/relations,http://dbpedia.org/resource/Norman_Kirk,obj,diff,tot
http://dbpedia.org/property/premier,http://dbpedia.org/resource/John_Robert_Nicholson,http://dbpedia.org/resource/W._A._C._Bennett,130,1050
http://dbpedia.org/property/shortDescription,http://dbpedia.org/resource/Jeff_Landry,obj,diff,tot
http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/coachTeam,http://dbpedia.org/resource/Jason_Garrett,obj,930,1929
http://dbpedia.org/property/consecratedBy,http://dbpedia.org/resource/Volodymyr_Sabodan,obj,346,1961
http://dbpedia.org/property/associatedActs,http://dbpedia.org/resource/Jeff_Hanson,obj,diff,tot
http://dbpedia.org/property/league,http://dbpedia.org/resource/Scott_Skiles,obj,diff,tot
http://dbpedia.org/property/schoolTradition,http://dbpedia.org/resource/Aldo_Capitini,obj,diff,tot
http://dbpedia.org/property/stat1label,http://dbpedia.org/resource/Scott_Skiles,obj,18,1977
http://dbpedia.org/property/counties,http://dbpedia.org/resource/Ambrose_O'Donovan,http://dbpedia.org/resource/Kerry_GAA,13,1982
http://dbpedia.org/property/הקודם,http://dbpedia.org/resource/Dimitrie_Cantemir,obj,diff,tot
http://dbpedia.org/property/nationality,http://dbpedia.org/resource/Scott_Skiles,obj,diff,tot
http://dbpedia.org/property/type,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/List_A_cricket,63,1899
http://dbpedia.org/property/district,http://dbpedia.org/resource/F._Bradford_Morse,obj,diff,tot
http://dbpedia.org/property/ruNationalteam,http://dbpedia.org/resource/Rob_Andrew,http://dbpedia.org/resource/British_and_Irish_Lions,302,1738
http://dbpedia.org/property/predecessor,http://dbpedia.org/resource/Saad_Jumaa,obj,diff,tot
http://dbpedia.org/property/dipstyle,http://dbpedia.org/resource/Corrado_Pizziolo,obj,672,1911
http://dbpedia.org/property/weightClass,http://dbpedia.org/resource/Murat_Direkçi,obj,296,1947
http://dbpedia.org/property/influencedBy,http://dbpedia.org/resource/Alicia_Austin,obj,diff,tot
http://dbpedia.org/property/prizes,http://dbpedia.org/resource/Baruto_Kaito,obj,diff,tot
http://dbpedia.org/property/diocese,http://dbpedia.org/resource/Corrado_Pizziolo,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Vittorio_Veneto,257,1637
http://dbpedia.org/property/מקוםלידה,http://dbpedia.org/resource/Ivan_Bagramyan,obj,diff,tot
http://dbpedia.org/property/הבא,http://dbpedia.org/resource/Cristoforo_Moro,obj,diff,tot
http://dbpedia.org/property/extour,http://dbpedia.org/resource/Andrew_Chandler_(golfer),http://dbpedia.org/resource/PGA_European_Tour,904,1859
http://dbpedia.org/property/constituency,http://dbpedia.org/resource/Bhajan_Lal,obj,diff,tot
http://dbpedia.org/property/coach,http://dbpedia.org/resource/Ria_Schiffner,obj,diff,tot
http://dbpedia.org/property/currentclub,http://dbpedia.org/resource/Paul_Verhaegh,obj,diff,tot
http://dbpedia.org/property/introducer,http://dbpedia.org/resource/Ben_Atkins,obj,185,1655
http://dbpedia.org/property/before,http://dbpedia.org/resource/Lisa_Murkowski,http://dbpedia.org/resource/Frank_Murkowski,326,1784
http://dbpedia.org/property/clubs,http://dbpedia.org/resource/Ohad_Levita,obj,diff,tot
http://dbpedia.org/property/rank,http://dbpedia.org/resource/Ivan_Bagramyan,http://dbpedia.org/resource/Marshal_of_the_Soviet_Union,diff,tot
http://dbpedia.org/property/careerPosition,http://dbpedia.org/resource/Scott_Skiles,http://dbpedia.org/resource/Point_guard,177,899
http://dbpedia.org/property/branch,http://dbpedia.org/resource/Juan_Francisco_Luis,obj,diff,tot
http://dbpedia.org/property/series,http://dbpedia.org/resource/Ben_Atkins,obj,diff,tot
http://dbpedia.org/property/school,http://dbpedia.org/resource/Rob_Andrew,obj,diff,tot
http://dbpedia.org/property/restingPlace,http://dbpedia.org/resource/James_W._Deaderick,obj,diff,tot
