prop,stat,tot,class
http://dbpedia.org/property/sex,1.94E-06,3608870,0
http://dbpedia.org/property/citizenship,0.00036996,2454318,0
http://dbpedia.org/property/birthPlace,5.56E-07,1798893,0
http://dbpedia.org/property/team,0.681934211,1159584,1
http://dbpedia.org/property/award,0.000401732,679558,0
http://dbpedia.org/property/deathPlace,1.47E-06,679250,0
http://dbpedia.org/property/education,0.014365489,644670,1
http://dbpedia.org/property/language,1.60E-06,626125,0
http://dbpedia.org/property/position,0.248324972,479992,1
http://dbpedia.org/property/party,0.007220161,259551,1
http://dbpedia.org/property/playerPositions,1.17E-05,256653,0
http://dbpedia.org/property/employer,0.047325776,217091,1
http://dbpedia.org/property/battle,0.0026162,106261,0
http://dbpedia.org/property/spouse,0.185193601,88016,1
http://dbpedia.org/property/placeOfBurial,0.002641634,84796,0
http://dbpedia.org/property/religion,0.000841987,57008,0
http://dbpedia.org/property/rank,0.006332055,51642,0
http://dbpedia.org/property/discipline,0.000835771,47860,0
http://dbpedia.org/property/residence,0.035282997,42315,1
http://dbpedia.org/property/knownFor,0.001031712,36832,0
http://dbpedia.org/property/nobleFamily,0.000102881,29160,0
http://dbpedia.org/property/recordLabel,0.002838866,26419,0
http://dbpedia.org/property/league,0.000306297,16324,0
http://dbpedia.org/property/doctoralAdvisor,0.000137334,14563,0
http://dbpedia.org/property/alias,0.001837391,13062,0
http://dbpedia.org/property/movement,0.00016721,11961,0
http://dbpedia.org/property/country,0.000427643,11692,0
http://dbpedia.org/property/relatives,0.001370098,11678,0
http://dbpedia.org/property/religion,0.000999112,9008,0
http://dbpedia.org/property/isPartOf,0.013912076,8985,1
http://dbpedia.org/property/coatOfArms,0.000394711,5067,0
http://dbpedia.org/property/allegiance,0.005307051,3957,0
http://dbpedia.org/property/partner,0.20370854,3829,1
http://dbpedia.org/property/partner,0.014492754,3726,1
http://dbpedia.org/property/doctoralStudent,0.001185302,2531,0
http://dbpedia.org/property/founder,0.002857143,700,0
http://dbpedia.org/property/owner,0.094285714,700,1
http://dbpedia.org/property/musicalArtist,0.008,125,0
http://dbpedia.org/property/editor,0.129411765,85,1
http://dbpedia.org/property/residence,0.011904762,84,1
http://dbpedia.org/property/starring,0.17721519,79,0
http://dbpedia.org/property/ceo,0.134328358,67,1
http://dbpedia.org/property/director,0.086206897,58,1
http://dbpedia.org/property/owner,0.041666667,48,1
http://dbpedia.org/property/address,0.051282051,39,1
